onset	duration	trial_type	weight
4.0169999999999995	1	scene_nontarget_nbackparam	-0.5
6.018	1	scene_nontarget_nbackparam	-0.5
8.019	1	scene_nontarget_nbackparam	-0.5
10.02	1	scene_target_nbackparam	-0.5
12.020999999999999	1	scene_nontarget_nbackparam	-0.5
14.005	1	scene_nontarget_nbackparam	-0.5
16.005	1	scene_nontarget_nbackparam	-0.5
18.006	1	scene_junk_ons	1
20.007	1	scene_dist_rtparam	0.153
68.01	1	faces_nontarget_rtparam	-0.024
70.01100000000001	1	faces_nontarget_rtparam	0.049
72.012	1	faces_nontarget_rtparam	-0.06
74.013	1	faces_nontarget_rtparam	-0.098
76.013	1	faces_nontarget_rtparam	0.071
78.014	1	faces_dist_nbackparam	-0.455
80.015	1	faces_nontarget_rtparam	-0.068
82.016	1	faces_nontarget_rtparam	-0.07
84.01700000000001	1	faces_nontarget_rtparam	0.024
86.01799999999999	1	faces_nontarget_rtparam	-0.106
90.01899999999999	1	faces_nontarget_rtparam	-0.052000000000000005
92.02	1	faces_nontarget_rtparam	-0.242
94.021	1	faces_nontarget_rtparam	-0.145
96.022	1	faces_dist_nbackparam	0.545
98.023	1	faces_target_rtparam	0.054000000000000006
100.023	1	faces_nontarget_rtparam	-0.054000000000000006
102.024	1	faces_target_rtparam	-0.068
104.025	1	faces_nontarget_rtparam	0.015
106.02600000000001	1	faces_nontarget_rtparam	-0.021
108.01	1	faces_dist_nbackparam	0.545
112.012	1	scene_nontarget_nbackparam	0.5
114.012	1	scene_dist_rtparam	0.099
116.01299999999999	1	scene_nontarget_nbackparam	0.5
118.014	1	scene_nontarget_nbackparam	0.5
120.015	1	scene_nontarget_nbackparam	0.5
122.016	1	scene_nontarget_nbackparam	0.5
124.01700000000001	1	scene_nontarget_nbackparam	0.5
126.01700000000001	1	scene_nontarget_nbackparam	0.5
128.018	1	scene_nontarget_nbackparam	0.5
130.019	1	scene_target_nbackparam	0.5
154.012	1	scene_nontarget_nbackparam	-0.5
156.013	1	scene_target_nbackparam	-0.5
158.014	1	scene_nontarget_nbackparam	-0.5
160.015	1	scene_dist_rtparam	-0.27399999999999997
162.015	1	scene_dist_rtparam	-0.019
164.016	1	scene_nontarget_nbackparam	-0.5
166.017	1	scene_target_nbackparam	-0.5
168.018	1	scene_nontarget_nbackparam	-0.5
170.019	1	scene_nontarget_nbackparam	-0.5
172.02	1	scene_nontarget_nbackparam	-0.5
220.023	1	faces_nontarget_rtparam	-0.057
222.023	1	faces_target_rtparam	-0.001
224.024	1	faces_nontarget_rtparam	0.034
226.025	1	faces_dist_nbackparam	-0.455
228.02599999999998	1	faces_nontarget_rtparam	0.125
230.01	1	faces_nontarget_rtparam	-0.087
232.011	1	faces_dist_nbackparam	-0.455
234.012	1	faces_nontarget_rtparam	-0.01
236.013	1	faces_target_rtparam	-0.281
238.013	1	faces_dist_nbackparam	-0.455
242.015	1	faces_nontarget_rtparam	-0.046
244.016	1	faces_dist_nbackparam	0.545
246.017	1	faces_nontarget_rtparam	0.033
248.017	1	faces_nontarget_rtparam	-0.09
250.018	1	faces_dist_nbackparam	0.545
252.019	1	faces_nontarget_rtparam	0.06
254.02	1	faces_target_rtparam	-0.235
256.02099999999996	1	faces_target_rtparam	0.027000000000000003
260.022	1	faces_nontarget_rtparam	-0.048
264.007	1	scene_nontarget_nbackparam	0.5
266.008	1	scene_dist_rtparam	-0.309
268.009	1	scene_nontarget_nbackparam	0.5
270.01	1	scene_nontarget_nbackparam	0.5
272.01099999999997	1	scene_target_nbackparam	0.5
274.01099999999997	1	scene_nontarget_nbackparam	0.5
276.012	1	scene_dist_rtparam	-0.015
