onset	duration	trial_type	weight
2.2661	1.0	abs_coh	38.5714
5.7661	1.0	abs_coh	38.5714
11.2661	1.0	abs_coh	-21.4286
14.2661	1.0	abs_coh	-21.4286
17.7661	1.0	abs_coh	38.5714
21.0161	1.0	abs_coh	-1.4286
24.7661	1.0	abs_coh	-31.4286
32.0161	1.0	abs_coh	-1.4286
35.0161	1.0	abs_coh	-31.4286
42.0149	1.0	abs_coh	-21.4286
45.0149	1.0	abs_coh	38.5714
49.2649	1.0	abs_coh	-21.4286
52.5149	1.0	abs_coh	-1.4286
56.0149	1.0	abs_coh	-1.4286
59.7649	1.0	abs_coh	-21.4286
63.7649	1.0	abs_coh	-1.4286
68.0149	1.0	abs_coh	-21.4286
78.0139	1.0	abs_coh	-1.4286
83.0139	1.0	abs_coh	-31.4286
86.7639	1.0	abs_coh	-31.4286
93.0139	1.0	abs_coh	38.5714
99.0139	1.0	abs_coh	-1.4286
104.0139	1.0	abs_coh	-21.4286
111.7639	1.0	abs_coh	-21.4286
115.2639	1.0	abs_coh	-1.4286
118.7639	1.0	abs_coh	38.5714
123.2629	1.0	abs_coh	38.5714
127.7629	1.0	abs_coh	38.5714
131.5129	1.0	abs_coh	38.5714
137.2629	1.0	abs_coh	-31.4286
144.0129	1.0	abs_coh	38.5714
150.2629	1.0	abs_coh	38.5714
154.5129	1.0	abs_coh	-21.4286
158.5129	1.0	abs_coh	-31.4286
162.762	1.0	abs_coh	-1.4286
167.262	1.0	abs_coh	-1.4286
171.762	1.0	abs_coh	-31.4286
179.012	1.0	abs_coh	-1.4286
182.762	1.0	abs_coh	-21.4286
186.512	1.0	abs_coh	-1.4286
192.262	1.0	abs_coh	38.5714
200.261	1.0	abs_coh	-21.4286
203.761	1.0	abs_coh	-21.4286
207.511	1.0	abs_coh	-1.4286
214.511	1.0	abs_coh	-1.4286
218.261	1.0	abs_coh	-21.4286
222.261	1.0	abs_coh	38.5714
225.761	1.0	abs_coh	38.5714
231.261	1.0	abs_coh	38.5714
239.26	1.0	abs_coh	-21.4286
242.76	1.0	abs_coh	-1.4286
246.26	1.0	abs_coh	38.5714
252.51	1.0	abs_coh	-21.4286
260.01	1.0	abs_coh	-1.4286
267.76	1.0	abs_coh	-31.4286
274.51	1.0	abs_coh	-21.4286
282.009	1.0	abs_coh	38.5714
285.759	1.0	abs_coh	-1.4286
292.759	1.0	abs_coh	-1.4286
297.259	1.0	abs_coh	-1.4286
300.509	1.0	abs_coh	38.5714
307.259	1.0	abs_coh	-1.4286
312.2581	1.0	abs_coh	-21.4286
318.0081	1.0	abs_coh	38.5714
324.2581	1.0	abs_coh	-21.4286
330.0081	1.0	abs_coh	-31.4286
335.2581	1.0	abs_coh	38.5714
339.0081	1.0	abs_coh	38.5714
347.5081	1.0	abs_coh	-21.4286
351.5071	1.0	abs_coh	-21.4286
355.0071	1.0	abs_coh	-21.4286
359.2571	1.0	abs_coh	-21.4286
366.5071	1.0	abs_coh	-1.4286
372.2571	1.0	abs_coh	-1.4286
377.2571	1.0	abs_coh	-1.4286
381.0071	1.0	abs_coh	-31.4286
384.0071	1.0	abs_coh	-21.4286
387.2571	1.0	abs_coh	38.5714
391.2561	1.0	abs_coh	38.5714
394.7561	1.0	abs_coh	38.5714
401.2561	1.0	abs_coh	-1.4286
408.7561	1.0	abs_coh	-31.4286
414.7561	1.0	abs_coh	-21.4286
420.2561	1.0	abs_coh	-31.4286
