onset	duration	trial_type	weight
1.2812	1.0	abs_coh	-1.4286
5.7812	1.0	abs_coh	-21.4286
11.7812	1.0	abs_coh	38.5714
16.2656	1.0	abs_coh	-21.4286
21.0156	1.0	abs_coh	-21.4286
24.5156	1.0	abs_coh	-1.4286
28.2656	1.0	abs_coh	38.5714
34.0156	1.0	abs_coh	38.5714
38.0156	1.0	abs_coh	-31.4286
42.0156	1.0	abs_coh	-21.4286
46.7656	1.0	abs_coh	38.5714
55.0156	1.0	abs_coh	-31.4286
62.2656	1.0	abs_coh	-1.4286
66.2656	1.0	abs_coh	-21.4286
69.2656	1.0	abs_coh	-31.4286
75.7656	1.0	abs_coh	-21.4286
85.2656	1.0	abs_coh	38.5714
94.7656	1.0	abs_coh	-1.4286
99.2656	1.0	abs_coh	-1.4286
102.2656	1.0	abs_coh	38.5714
105.7656	1.0	abs_coh	38.5714
111.2656	1.0	abs_coh	38.5714
115.7656	1.0	abs_coh	-1.4286
120.0156	1.0	abs_coh	-31.4286
124.2656	1.0	abs_coh	-21.4286
127.2656	1.0	abs_coh	-1.4286
130.7656	1.0	abs_coh	-1.4286
136.2656	1.0	abs_coh	-21.4286
141.0156	1.0	abs_coh	-21.4286
145.2656	1.0	abs_coh	-21.4286
154.5156	1.0	abs_coh	38.5714
163.2656	1.0	abs_coh	38.5714
166.2656	1.0	abs_coh	-1.4286
169.5156	1.0	abs_coh	-1.4286
176.5156	1.0	abs_coh	-21.4286
181.0156	1.0	abs_coh	-1.4286
184.5156	1.0	abs_coh	38.5714
194.5156	1.0	abs_coh	-21.4286
198.2656	1.0	abs_coh	-21.4286
204.0156	1.0	abs_coh	-1.4286
207.5156	1.0	abs_coh	38.5714
212.0156	1.0	abs_coh	-1.4286
217.2656	1.0	abs_coh	-31.4286
220.5156	1.0	abs_coh	-31.4286
224.7656	1.0	abs_coh	38.5714
229.7656	1.0	abs_coh	-1.4286
235.5156	1.0	abs_coh	-21.4286
241.0156	1.0	abs_coh	-1.4286
245.7656	1.0	abs_coh	38.5714
249.0156	1.0	abs_coh	38.5714
254.0156	1.0	abs_coh	38.5714
259.7656	1.0	abs_coh	-1.4286
263.5156	1.0	abs_coh	-21.4286
273.0156	1.0	abs_coh	-31.4286
276.7656	1.0	abs_coh	-21.4286
280.0156	1.0	abs_coh	-31.4286
283.7656	1.0	abs_coh	-1.4286
287.0156	1.0	abs_coh	38.5714
291.5156	1.0	abs_coh	-21.4286
296.0156	1.0	abs_coh	38.5714
304.2656	1.0	abs_coh	-1.4286
312.5156	1.0	abs_coh	-1.4286
317.7656	1.0	abs_coh	-1.4286
323.2656	1.0	abs_coh	-21.4286
327.5156	1.0	abs_coh	38.5714
331.0156	1.0	abs_coh	38.5714
340.5156	1.0	abs_coh	38.5714
343.7656	1.0	abs_coh	-21.4286
348.0156	1.0	abs_coh	-31.4286
356.0156	1.0	abs_coh	-21.4286
359.0156	1.0	abs_coh	-1.4286
364.7656	1.0	abs_coh	-31.4286
369.2656	1.0	abs_coh	38.5714
376.0156	1.0	abs_coh	-21.4286
379.2656	1.0	abs_coh	-1.4286
383.5156	1.0	abs_coh	-21.4286
386.7656	1.0	abs_coh	-31.4286
392.7656	1.0	abs_coh	-21.4286
396.2656	1.0	abs_coh	-1.4286
401.5156	1.0	abs_coh	-1.4286
405.7656	1.0	abs_coh	-31.4286
410.7656	1.0	abs_coh	-21.4286
415.5156	1.0	abs_coh	38.5714
421.2656	1.0	abs_coh	38.5714
