onset	duration	trial_type	weight
4.0234	1.0	abs_coh	38.5714
7.0234	1.0	abs_coh	38.5714
11.7734	1.0	abs_coh	-1.4286
16.7734	1.0	abs_coh	-21.4286
20.0234	1.0	abs_coh	-1.4286
26.0234	1.0	abs_coh	-21.4286
32.7734	1.0	abs_coh	-21.4286
36.0234	1.0	abs_coh	-21.4286
45.5234	1.0	abs_coh	-1.4286
53.7656	1.0	abs_coh	-31.4286
61.5156	1.0	abs_coh	-1.4286
67.0156	1.0	abs_coh	-31.4286
73.5156	1.0	abs_coh	-21.4286
80.0156	1.0	abs_coh	-21.4286
83.0156	1.0	abs_coh	38.5714
88.2656	1.0	abs_coh	38.5714
92.5156	1.0	abs_coh	-21.4286
98.7656	1.0	abs_coh	-1.4286
104.0156	1.0	abs_coh	-1.4286
111.0156	1.0	abs_coh	-31.4286
114.2656	1.0	abs_coh	38.5714
118.0156	1.0	abs_coh	38.5714
121.5156	1.0	abs_coh	38.5714
127.7656	1.0	abs_coh	38.5714
132.0156	1.0	abs_coh	-1.4286
138.5156	1.0	abs_coh	-21.4286
142.2656	1.0	abs_coh	-31.4286
148.5156	1.0	abs_coh	-1.4286
152.0156	1.0	abs_coh	-21.4286
155.2656	1.0	abs_coh	38.5714
161.7656	1.0	abs_coh	38.5714
166.0156	1.0	abs_coh	-1.4286
175.5156	1.0	abs_coh	-31.4286
181.0156	1.0	abs_coh	-31.4286
184.5156	1.0	abs_coh	-21.4286
187.5156	1.0	abs_coh	38.5714
192.2656	1.0	abs_coh	38.5714
195.5156	1.0	abs_coh	38.5714
204.0156	1.0	abs_coh	-21.4286
207.5156	1.0	abs_coh	-21.4286
211.7656	1.0	abs_coh	-31.4286
215.5156	1.0	abs_coh	-1.4286
219.2656	1.0	abs_coh	-31.4286
223.5156	1.0	abs_coh	-21.4286
227.5156	1.0	abs_coh	-21.4286
230.7656	1.0	abs_coh	-1.4286
236.2656	1.0	abs_coh	38.5714
241.5156	1.0	abs_coh	38.5714
244.7656	1.0	abs_coh	38.5714
251.0156	1.0	abs_coh	-1.4286
254.2656	1.0	abs_coh	-21.4286
257.7656	1.0	abs_coh	-21.4286
260.7656	1.0	abs_coh	-1.4286
267.5156	1.0	abs_coh	-1.4286
273.7656	1.0	abs_coh	-1.4286
277.0156	1.0	abs_coh	-1.4286
282.2656	1.0	abs_coh	38.5714
287.2656	1.0	abs_coh	-31.4286
291.7656	1.0	abs_coh	-21.4286
296.7656	1.0	abs_coh	38.5714
300.0156	1.0	abs_coh	-31.4286
304.5156	1.0	abs_coh	-21.4286
308.0156	1.0	abs_coh	-1.4286
317.0156	1.0	abs_coh	-21.4286
322.2656	1.0	abs_coh	-1.4286
328.5078	1.0	abs_coh	-31.4286
333.2578	1.0	abs_coh	-1.4286
336.5078	1.0	abs_coh	-1.4286
341.2578	1.0	abs_coh	38.5714
347.0078	1.0	abs_coh	38.5714
351.0078	1.0	abs_coh	-21.4286
359.7578	1.0	abs_coh	-21.4286
369.7578	1.0	abs_coh	38.5714
373.7578	1.0	abs_coh	-1.4286
377.7578	1.0	abs_coh	38.5714
382.5078	1.0	abs_coh	-31.4286
387.5078	1.0	abs_coh	-21.4286
393.0078	1.0	abs_coh	-21.4286
401.2578	1.0	abs_coh	-21.4286
405.5078	1.0	abs_coh	-1.4286
412.0078	1.0	abs_coh	-1.4286
415.2578	1.0	abs_coh	38.5714
419.7578	1.0	abs_coh	38.5714
423.0078	1.0	abs_coh	-1.4286
