onset	duration	trial_type	weight
24.009	1	faces_nontarget_rtparam	-0.29100000000000004
26.01	1	faces_nontarget_rtparam	0.049
28.01	1	faces_nontarget_rtparam	0.191
30.011	1	faces_nontarget_rtparam	0.147
32.012	1	faces_nontarget_rtparam	0.17
34.013000000000005	1	faces_nontarget_rtparam	-0.022000000000000002
36.014	1	faces_nontarget_rtparam	-0.057999999999999996
38.015	1	faces_nontarget_rtparam	0.018000000000000002
42.016000000000005	1	faces_nontarget_rtparam	-0.121
68.01	1	scene_nontarget_nbackparam	-0.5
70.01100000000001	1	scene_nontarget_nbackparam	-0.5
72.012	1	scene_target_nbackparam	-0.556
74.013	1	scene_dist_rtparam	-0.332
76.014	1	scene_target_nbackparam	-0.556
78.014	1	scene_target_nbackparam	-0.556
80.015	1	scene_nontarget_nbackparam	-0.5
82.016	1	scene_dist_rtparam	-0.18100000000000002
84.01700000000001	1	scene_nontarget_nbackparam	-0.5
86.01799999999999	1	scene_dist_rtparam	-0.017
90.01899999999999	1	faces_nontarget_rtparam	-0.188
92.02	1	faces_nontarget_rtparam	-0.115
94.021	1	faces_nontarget_rtparam	-0.057
96.022	1	faces_nontarget_rtparam	0.16699999999999998
98.023	1	faces_dist_nbackparam	0.375
100.023	1	faces_nontarget_rtparam	-0.042
102.024	1	faces_nontarget_rtparam	-0.013000000000000001
104.025	1	faces_target_rtparam	0.027999999999999997
106.02600000000001	1	faces_junk_ons	1
108.01	1	faces_nontarget_rtparam	0.036000000000000004
112.012	1	scene_nontarget_nbackparam	0.5
114.012	1	scene_nontarget_nbackparam	0.5
116.01299999999999	1	scene_junk_ons	1
118.014	1	scene_dist_rtparam	-0.08800000000000001
120.015	1	scene_nontarget_nbackparam	0.5
122.016	1	scene_target_nbackparam	0.444
124.01700000000001	1	scene_target_nbackparam	0.444
126.01700000000001	1	scene_nontarget_nbackparam	0.5
128.018	1	scene_nontarget_nbackparam	0.5
130.019	1	scene_target_nbackparam	0.444
176.021	1	faces_nontarget_rtparam	-0.040999999999999995
178.02200000000002	1	faces_nontarget_rtparam	-0.122
180.023	1	faces_nontarget_rtparam	0.004
182.024	1	faces_junk_ons	1
184.024	1	faces_dist_nbackparam	-0.625
186.025	1	faces_dist_nbackparam	-0.625
188.02599999999998	1	faces_junk_ons	1
190.01	1	faces_junk_ons	1
192.011	1	faces_target_rtparam	-0.054000000000000006
194.012	1	faces_target_rtparam	-0.046
220.023	1	scene_nontarget_nbackparam	-0.5
222.007	1	scene_target_nbackparam	-0.556
224.00799999999998	1	scene_nontarget_nbackparam	-0.5
