onset	duration	trial_type	weight
1.2656	1.0	abs_coh	-1.4286
4.5156	1.0	abs_coh	-1.4286
12.5156	1.0	abs_coh	-1.4286
16.7656	1.0	abs_coh	-21.4286
20.2656	1.0	abs_coh	-21.4286
29.0156	1.0	abs_coh	-1.4286
32.2656	1.0	abs_coh	-21.4286
40.5156	1.0	abs_coh	-21.4286
44.7637	1.0	abs_coh	-21.4286
50.7637	1.0	abs_coh	-31.4286
54.5137	1.0	abs_coh	38.5714
62.2637	1.0	abs_coh	38.5714
70.2637	1.0	abs_coh	-1.4286
76.2637	1.0	abs_coh	-1.4286
82.5137	1.0	abs_coh	38.5714
86.5137	1.0	abs_coh	38.5714
91.2637	1.0	abs_coh	-21.4286
96.2637	1.0	abs_coh	-1.4286
101.5137	1.0	abs_coh	38.5714
105.2637	1.0	abs_coh	38.5714
110.5137	1.0	abs_coh	-21.4286
113.7637	1.0	abs_coh	-31.4286
120.0137	1.0	abs_coh	-31.4286
123.7617	1.0	abs_coh	-1.4286
133.7617	1.0	abs_coh	-21.4286
140.0117	1.0	abs_coh	-31.4286
143.0117	1.0	abs_coh	38.5714
147.2617	1.0	abs_coh	38.5714
152.0117	1.0	abs_coh	38.5714
156.2617	1.0	abs_coh	-21.4286
159.2617	1.0	abs_coh	-1.4286
163.5117	1.0	abs_coh	-31.4286
166.7617	1.0	abs_coh	38.5714
171.0117	1.0	abs_coh	38.5714
174.0117	1.0	abs_coh	38.5714
177.5117	1.0	abs_coh	-21.4286
181.0117	1.0	abs_coh	-21.4286
187.0117	1.0	abs_coh	-1.4286
191.5117	1.0	abs_coh	38.5714
198.0117	1.0	abs_coh	-1.4286
204.7598	1.0	abs_coh	-21.4286
211.0098	1.0	abs_coh	-1.4286
214.7598	1.0	abs_coh	-1.4286
222.7598	1.0	abs_coh	-21.4286
227.2598	1.0	abs_coh	-21.4286
231.7598	1.0	abs_coh	-21.4286
235.7598	1.0	abs_coh	-1.4286
239.7598	1.0	abs_coh	38.5714
247.7598	1.0	abs_coh	-1.4286
252.2598	1.0	abs_coh	-31.4286
256.7598	1.0	abs_coh	-1.4286
261.2598	1.0	abs_coh	-21.4286
264.2598	1.0	abs_coh	38.5714
269.2598	1.0	abs_coh	38.5714
279.0078	1.0	abs_coh	-31.4286
282.5078	1.0	abs_coh	-31.4286
292.5078	1.0	abs_coh	-31.4286
299.5078	1.0	abs_coh	38.5714
303.7578	1.0	abs_coh	38.5714
309.2578	1.0	abs_coh	-31.4286
316.0078	1.0	abs_coh	-21.4286
320.2578	1.0	abs_coh	-31.4286
324.0078	1.0	abs_coh	-21.4286
331.0078	1.0	abs_coh	-21.4286
336.0078	1.0	abs_coh	-1.4286
339.7578	1.0	abs_coh	-1.4286
345.7578	1.0	abs_coh	-21.4286
349.2559	1.0	abs_coh	38.5714
354.2559	1.0	abs_coh	38.5714
360.5059	1.0	abs_coh	-1.4286
364.5059	1.0	abs_coh	38.5714
367.7559	1.0	abs_coh	38.5714
371.7559	1.0	abs_coh	38.5714
376.0059	1.0	abs_coh	-1.4286
380.5059	1.0	abs_coh	-1.4286
383.7559	1.0	abs_coh	-1.4286
389.0059	1.0	abs_coh	-21.4286
395.0059	1.0	abs_coh	-1.4286
398.0059	1.0	abs_coh	-31.4286
406.7559	1.0	abs_coh	-21.4286
410.2559	1.0	abs_coh	38.5714
413.5059	1.0	abs_coh	-1.4286
418.7559	1.0	abs_coh	-21.4286
424.5059	1.0	abs_coh	-21.4286
